"lek_id","date","s_peak","r_peak","g_peak","peak_prominence","peak_curvature","n_peaks","n_points"
"TalChhapar_TC",2012-10-01,1.47180425578903,23.3727568859313,1.24824513991082,0.288690822349726,3.67454731022467,2,162
"TalChhapar_TC",2012-10-01,2.61461697204875,41.5210151738309,1.00379404903105,0.0516967021714845,1.32259668939809,2,162
"TalChhapar_TC",2014-02-01,1.52124662791924,22.8228096650858,1.08442998797129,0.111816352443575,2.96062271259427,1,193
"TalChhapar_TC",2015-11-01,1.53035285429836,24.7476249380449,1.12673635311252,0.177206285004294,1.58555997195761,2,127
"TalChhapar_TC",2015-11-01,2.80564689954699,45.370645719749,0.987378699161374,0.0488926657994035,1.39471960918722,2,127
"TalChhapar_TC",2015-12-01,1.33680174151633,25.2975721588903,1.13411675982989,0.154266667616717,3.72284158121556,2,106
"TalChhapar_TC",2015-12-01,3.19669981666949,60.4941942929986,0.999525184527697,0.052036360647752,0.737227160143492,2,106
"TalChhapar_TC",2018-01-01,1.79817177742382,30.2470971464993,0.985276081434213,0.0337939702201274,4.49812613874244,2,241
"TalChhapar_TC",2018-01-01,2.84438081156131,47.8454082135534,1.12697272816938,0.175490616955297,5.68942677578357,2,241
"TalChhapar_TC",2018-11-01,2.00401141756974,32.1719124194584,1.01082279801949,0.118282372313226,4.17330911188737,2,159
"TalChhapar_TC",2018-11-01,3.44278884556852,55.2696956949669,0.99104246938891,0.0985020436826483,0.69929596711464,2,159
"TalChhapar_TC",2019-10-01,1.46583340830181,24.7476249380449,0.997247800825,0.0807417998275753,3.60249667529152,2,151
"TalChhapar_TC",2019-10-01,2.54077790772313,42.8958832259445,1.01348149940892,0.0752386535860099,1.95123385837703,2,151
"TalChhapar_TC",2021-02-01,1.55583964167744,26.9474138214267,1.04129748837081,0.0584570513955193,2.4309746322413,3,163
"TalChhapar_TC",2021-02-01,2.39726312136014,41.5210151738309,1.05442462244373,0.0715841854684337,3.40647718110846,3,163
"TalChhapar_TC",2021-02-01,3.30219025988682,57.194510967926,0.92894504191405,0.021793654821212,2.68307188346155,3,163
"TalChhapar_TC",2022-03-01,1.5653311495268,26.1224929901585,1.17067192949887,0.171427549044536,6.17648496707532,2,135
"TalChhapar_TC",2022-03-01,3.29543399900379,54.9947220845442,0.972894911574334,0.0200407957911485,1.33059110392648,2,135
"TalChhapar_TC",2023-12-01,2.35921461896379,31.3469915881902,1.07372399153582,0.0868732998198173,2.47152958435781,3,284
"TalChhapar_TC",2023-12-01,3.29048354750213,43.7208040572126,1.01115686808418,0.0243061763681774,0.771497058830514,3,284
"TalChhapar_TC",2023-12-01,4.18036274588321,55.5446693053896,1.03139515594407,0.0650852876386988,2.04118302463441,3,284
"Velavadar_LEK1",2013-12-01,1.66099558400671,40.5199438063747,0.882960516840351,0.227263416093612,2.45880623964407,1,43
"Velavadar_LEK1",2014-02-01,NA,NA,NA,NA,NA,0,73
"Velavadar_LEK1",2014-10-01,1.79894937230444,37.1432818225101,0.846021471336777,0.0619318200502745,0.809486064042474,1,37
"Velavadar_LEK1",2015-05-01,2.15272449263297,43.5589395918528,0.89381294976442,0.0483167985637205,1.81657150761985,2,83
"Velavadar_LEK1",2015-05-01,3.62124972791747,73.2735650498609,0.938410102027351,0.0329894437131354,1.72327168720069,2,83
"Velavadar_LEK1",2015-11-01,2.34309623430962,47.2732677741038,0.811927292123811,0.0495867919266503,0.973686796306262,1,48
"Velavadar_LEK1",2016-01-01,2.77410807494447,52.0005945515142,0.875456882015104,0.133126639411893,1.90460358944726,1,102
"Velavadar_LEK1",2016-11-01,NA,NA,NA,NA,NA,0,102
"Velavadar_LEK1",2018-10-01,2.31092240618769,27.3509620693029,0.834911753953356,0.0762983810164064,0.558312920364865,2,63
"Velavadar_LEK1",2018-10-01,4.67890462487384,55.3772565353787,0.791022053954254,0.028380763778477,0.434953286813329,2,63
"Velavadar_LEK1",2018-11-01,3.09885273470235,36.8056156241237,0.887453849339062,0.0606196485865332,0.590758060344805,1,82
"Velavadar_LEK1",2021-03-01,2.26116786282566,45.5849367821715,0.923587268533947,0.115729016274094,2.23562992622835,2,69
"Velavadar_LEK1",2021-03-01,3.48387344790916,70.2345692643828,0.850805191809746,0.042946939549893,0.856167659126702,2,69
"Velavadar_LEK1",2021-12-01,1.37994622521992,35.7926170289643,0.788621460762205,0.125765275867367,2.41068114111785,1,32
"Velavadar_LEK1",2022-12-01,NA,NA,NA,NA,NA,0,12
"Velavadar_LEK1",2024-05-01,1.15318799569169,66.5202410821318,0.701501097043,0.0776383829197012,3.45340184215035,1,7
"Velavadar_LEK2",2014-02-01,1.05558982621272,59.947090138571,0.88093284634618,0.0655388709004215,6.3561535109645,1,25
"Velavadar_LEK2",2015-05-01,NA,NA,NA,NA,NA,0,76
"Velavadar_LEK2",2015-11-01,NA,NA,NA,NA,NA,0,19
"Velavadar_LEK2",2016-01-01,3.69529109567975,55.6030980995441,0.694359543284143,0.0547017009291338,0.674760775363229,1,117
"Velavadar_LEK2",2016-11-01,1.3909981705977,48.6527108371011,0.68989843083079,0.0334100212045477,3.19205531990807,2,79
"Velavadar_LEK2",2016-11-01,1.96230099066461,68.6350742166247,0.699666173644567,0.0431777640183241,0.895706645794501,2,79
"Velavadar_LEK2",2018-10-01,NA,NA,NA,NA,NA,0,49
"Velavadar_LEK2",2018-11-01,1.43933054393305,37.3583315356312,0.820958120807519,0.131978274449896,3.01255353198495,2,109
"Velavadar_LEK2",2018-11-01,3.28033472803347,85.1422439649269,0.805762432556204,0.0557171626487369,1.15351882711885,2,109
"Velavadar_LEK2",2021-03-01,1.79410612469155,43.0055211863661,0.908313038262758,0.174044008672658,4.00710499299169,1,153
"Velavadar_LEK2",2021-12-01,NA,NA,NA,NA,NA,0,95
"Velavadar_LEK2",2022-12-01,1.38144526654531,22.5887586029398,0.789858007039016,0.0413632486811759,0.23216789747061,1,109
"Velavadar_LEK2",2024-05-01,2.43793232264517,51.2591060605172,0.733831313505782,0.0805323585287757,0.495684807714744,3,265
"Velavadar_LEK2",2024-05-01,3.6362380405555,76.4542598868731,0.93646012767715,0.199443953348357,3.4785950437892,3,265
"Velavadar_LEK2",2024-05-01,4.52463710728213,95.1334256546887,0.764462060757364,0.0274458864285704,0.503151657290346,3,265
